2024-04-20 16:28:28,611 | MainThread   | [INFO    ] | _connect            |: Connected to c0:89:c1:6d:24:4b
2024-04-20 17:15:17,688 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from C0:89:C1:6D:24:4B
2024-04-28 18:15:16,914 | MainThread   | [DEBUG   ] | <module>            |: debug
2024-04-28 18:15:16,917 | MainThread   | [INFO    ] | <module>            |: info
2024-04-28 18:15:16,919 | MainThread   | [WARNING ] | <module>            |: warning
2024-04-28 18:15:16,921 | MainThread   | [ERROR   ] | <module>            |: error
2024-04-28 18:15:16,921 | MainThread   | [CRITICAL] | <module>            |: critical
2024-04-28 18:15:19,872 | MainThread   | [INFO    ] | exit_handler        |: Exiting...
2024-04-28 18:15:19,882 | MainThread   | [WARNING ] | exit_handler        |: Could not disconnect before exiting
2024-04-28 18:15:19,884 | MainThread   | [WARNING ] | exit_handler        |: Not connected to a BLE device
2024-04-28 18:15:20,312 | MainThread   | [WARNING ] | __del__             |: Could not delete BaseBLEController instance before exiting
2024-04-28 18:15:20,402 | MainThread   | [WARNING ] | __del__             |: [WinError 10038] An operation was attempted on something that is not a socket
2024-04-28 18:15:24,676 | MainThread   | [DEBUG   ] | <module>            |: debug
2024-04-28 18:15:24,677 | MainThread   | [INFO    ] | <module>            |: info
2024-04-28 18:15:24,679 | MainThread   | [WARNING ] | <module>            |: warning
2024-04-28 18:15:24,679 | MainThread   | [ERROR   ] | <module>            |: error
2024-04-28 18:15:24,680 | MainThread   | [CRITICAL] | <module>            |: critical
2024-04-28 18:15:24,682 | MainThread   | [DEBUG   ] | __init__            |: Python Info: sys.version_info(major=3, minor=12, micro=3, releaselevel='final', serial=0)
2024-04-28 18:15:24,682 | MainThread   | [DEBUG   ] | __init__            |: System Info: Windows-10-10.0.19045-SP0
2024-04-28 18:15:26,927 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:89:c1:6d:24:4b
2024-04-28 18:15:32,014 | MainThread   | [INFO    ] | _connect            |: Connected to c0:89:c1:6d:24:4b
2024-04-28 18:26:37,242 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from C0:89:C1:6D:24:4B
2024-04-28 18:29:30,579 | MainThread   | [INFO    ] | exit_handler        |: Exiting...
2024-04-28 18:29:30,580 | MainThread   | [WARNING ] | exit_handler        |: Could not disconnect before exiting
2024-04-28 18:29:30,581 | MainThread   | [WARNING ] | exit_handler        |: Not connected to a BLE device
2024-04-28 18:29:30,676 | MainThread   | [WARNING ] | __del__             |: Could not delete BaseBLEController instance before exiting
2024-04-28 18:29:30,733 | MainThread   | [WARNING ] | __del__             |: [WinError 10038] An operation was attempted on something that is not a socket
2024-04-28 18:29:34,739 | MainThread   | [DEBUG   ] | <module>            |: debug
2024-04-28 18:29:34,739 | MainThread   | [INFO    ] | <module>            |: info
2024-04-28 18:29:34,742 | MainThread   | [WARNING ] | <module>            |: warning
2024-04-28 18:29:34,742 | MainThread   | [ERROR   ] | <module>            |: error
2024-04-28 18:29:34,743 | MainThread   | [CRITICAL] | <module>            |: critical
2024-04-28 18:29:34,745 | MainThread   | [DEBUG   ] | __init__            |: Python Info: sys.version_info(major=3, minor=12, micro=3, releaselevel='final', serial=0)
2024-04-28 18:29:34,745 | MainThread   | [DEBUG   ] | __init__            |: System Info: Windows-10-10.0.19045-SP0
2024-04-28 18:29:36,147 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:89:c1:6d:24:4b
2024-04-28 18:29:40,850 | MainThread   | [INFO    ] | _connect            |: Connected to c0:89:c1:6d:24:4b
2024-04-28 18:55:02,413 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from C0:89:C1:6D:24:4B
2024-04-28 18:56:38,313 | MainThread   | [INFO    ] | exit_handler        |: Exiting...
2024-04-28 18:56:38,314 | MainThread   | [WARNING ] | exit_handler        |: Could not disconnect before exiting
2024-04-28 18:56:38,315 | MainThread   | [WARNING ] | exit_handler        |: Not connected to a BLE device
2024-04-28 18:56:38,443 | MainThread   | [WARNING ] | __del__             |: Could not delete BaseBLEController instance before exiting
2024-04-28 18:56:38,456 | MainThread   | [WARNING ] | __del__             |: [WinError 10038] An operation was attempted on something that is not a socket
2024-04-28 18:56:42,161 | MainThread   | [DEBUG   ] | <module>            |: debug
2024-04-28 18:56:42,161 | MainThread   | [INFO    ] | <module>            |: info
2024-04-28 18:56:42,163 | MainThread   | [WARNING ] | <module>            |: warning
2024-04-28 18:56:42,164 | MainThread   | [ERROR   ] | <module>            |: error
2024-04-28 18:56:42,165 | MainThread   | [CRITICAL] | <module>            |: critical
2024-04-28 18:56:42,166 | MainThread   | [DEBUG   ] | __init__            |: Python Info: sys.version_info(major=3, minor=12, micro=3, releaselevel='final', serial=0)
2024-04-28 18:56:42,166 | MainThread   | [DEBUG   ] | __init__            |: System Info: Windows-10-10.0.19045-SP0
2024-04-28 18:56:42,220 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:89:c1:6d:24:4b
2024-04-28 18:56:47,174 | MainThread   | [INFO    ] | _connect            |: Connected to c0:89:c1:6d:24:4b
2024-04-28 18:56:48,212 | MainThread   | [INFO    ] | exit_handler        |: Exiting...
2024-04-28 18:56:51,370 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from C0:89:C1:6D:24:4B
2024-04-28 18:57:05,144 | MainThread   | [WARNING ] | exit_handler        |: Could not disconnect before exiting
2024-04-28 18:57:05,239 | MainThread   | [WARNING ] | __del__             |: Could not delete BaseBLEController instance before exiting
2024-04-28 18:57:05,246 | MainThread   | [WARNING ] | __del__             |: [WinError 10038] An operation was attempted on something that is not a socket
2024-04-28 18:57:20,006 | MainThread   | [DEBUG   ] | <module>            |: debug
2024-04-28 18:57:20,006 | MainThread   | [INFO    ] | <module>            |: info
2024-04-28 18:57:20,008 | MainThread   | [WARNING ] | <module>            |: warning
2024-04-28 18:57:20,009 | MainThread   | [ERROR   ] | <module>            |: error
2024-04-28 18:57:20,009 | MainThread   | [CRITICAL] | <module>            |: critical
2024-04-28 18:57:20,011 | MainThread   | [DEBUG   ] | __init__            |: Python Info: sys.version_info(major=3, minor=12, micro=3, releaselevel='final', serial=0)
2024-04-28 18:57:20,011 | MainThread   | [DEBUG   ] | __init__            |: System Info: Windows-10-10.0.19045-SP0
2024-04-28 18:57:20,508 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:89:c1:6d:24:4b
2024-04-28 18:57:25,513 | MainThread   | [INFO    ] | _connect            |: Connected to c0:89:c1:6d:24:4b
2024-04-28 22:04:26,596 | MainThread   | [INFO    ] | exit_handler        |: Exiting...
2024-04-28 22:04:26,675 | MainThread   | [WARNING ] | exit_handler        |: Could not disconnect before exiting
2024-04-28 22:04:26,675 | MainThread   | [WARNING ] | exit_handler        |: Event loop stopped before Future completed.
2024-04-28 22:04:26,879 | MainThread   | [WARNING ] | __del__             |: Could not delete BaseBLEController instance before exiting
2024-04-28 22:04:26,949 | MainThread   | [WARNING ] | __del__             |: [WinError 10038] An operation was attempted on something that is not a socket
2024-04-28 22:04:32,073 | MainThread   | [DEBUG   ] | <module>            |: debug
2024-04-28 22:04:32,074 | MainThread   | [INFO    ] | <module>            |: info
2024-04-28 22:04:32,076 | MainThread   | [WARNING ] | <module>            |: warning
2024-04-28 22:04:32,077 | MainThread   | [ERROR   ] | <module>            |: error
2024-04-28 22:04:32,078 | MainThread   | [CRITICAL] | <module>            |: critical
2024-04-28 22:04:32,083 | MainThread   | [DEBUG   ] | __init__            |: Python Info: sys.version_info(major=3, minor=12, micro=3, releaselevel='final', serial=0)
2024-04-28 22:04:32,084 | MainThread   | [DEBUG   ] | __init__            |: System Info: Windows-10-10.0.19045-SP0
2024-04-28 22:04:33,038 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:89:c1:6d:24:4b
2024-04-28 22:04:38,079 | MainThread   | [INFO    ] | _connect            |: Connected to c0:89:c1:6d:24:4b
2024-04-28 23:02:29,262 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from C0:89:C1:6D:24:4B
